value,daily_change,volatility_7d,cluster
30,-6.0,18.726095873584185,0
44,14.0,18.050194564312147,0
54,10.0,15.92691642053372,0
31,-23.0,17.397317800933184,0
42,11.0,16.52127056107916,0
35,-7.0,16.886173549471092,0
55,20.0,15.162610655977483,0
71,16.0,15.334368495078536,0
67,-4.0,15.250292737237162,0
74,7.0,15.071259308460494,0
63,-11.0,12.011898862615945,0
67,4.0,11.674147261608201,0
74,7.0,10.721584815333083,0
54,-20.0,12.294017127971522,0
44,-10.0,10.38313651116674,0
39,-5.0,10.392304845413262,0
31,-8.0,9.227288721117223,0
33,2.0,9.393513466115605,0
37,4.0,9.393513466115605,0
44,7.0,9.393513466115605,0
41,-3.0,6.362090102803516,2
38,-3.0,5.336308693862308,2
47,9.0,6.094494002200438,1
56,9.0,5.159365040297844,1
44,-12.0,7.870983480631942,2
55,11.0,8.638231741453085,1
59,4.0,8.454359258760563,1
37,-22.0,12.474736374731435,0
39,2.0,12.455635557564179,0
37,-2.0,11.830147123023488,0
39,2.0,11.073348527841414,0
40,1.0,10.260882724488877,0
41,1.0,9.0,0
41,0.0,8.67673407946298,0
40,-1.0,1.511857892036905,2
32,-8.0,3.366501646120692,2
33,1.0,3.408672412985386,2
31,-2.0,3.2366943748507477,2
29,-2.0,3.1014589500826246,2
29,0.0,2.984084768360628,2
37,8.0,4.755948656056709,2
36,-1.0,4.755948656056709,2
36,0.0,3.4572215654165035,2
28,-8.0,4.7157284949512555,2
32,4.0,4.9809159608975335,2
30,-2.0,4.9809159608975335,2
31,1.0,4.990467102863407,2
24,-7.0,4.298393941484479,2
24,0.0,4.347960660443227,2
18,-6.0,4.540820148282424,2
12,-6.0,4.191828786034631,2
16,4.0,4.191828786034631,2
16,0.0,4.281744192888376,2
11,-5.0,4.180453381654971,2
22,11.0,6.237368187365717,2
22,0.0,6.237368187365717,2
17,-5.0,6.09449400220044,2
19,2.0,5.537749241945382,2
20,1.0,5.380741673076392,2
17,-3.0,5.550632739564364,2
21,4.0,5.191568255583368,2
18,-3.0,3.2071349029490905,2
20,2.0,3.352326839390101,2
18,-2.0,2.794552524023085,2
23,5.0,3.309438162646484,2
26,3.0,3.4364987719368956,2
24,-2.0,3.2659863237109015,2
25,1.0,2.99205296617238,2
26,1.0,2.5448360411214033,2
32,6.0,3.1471831698777697,2
31,-1.0,2.968084198523315,2
28,-3.0,3.093772546815385,2
29,1.0,2.9358214555806352,2
64,35.0,13.199927849730663,0
47,-17.0,15.773697214335126,0
55,8.0,15.83696700159231,0
54,-1.0,15.920935603041373,0
61,7.0,15.861003391066673,0
59,-2.0,15.788784446109657,0
56,-3.0,16.00446366308028,0
52,-4.0,8.280786712108245,0
55,3.0,4.879500364742657,1
56,1.0,3.8483144114694836,1
63,7.0,4.572172558506712,1
67,4.0,4.059087394500195,1
56,-11.0,6.051367417290701,1
62,6.0,6.362090102803511,1
53,-9.0,7.221001117771486,1
63,10.0,8.112306935115543,1
41,-22.0,11.93633907344251,0
44,3.0,11.513966674062786,0
40,-4.0,11.126972805283732,0
40,0.0,10.719363875937873,0
40,0.0,10.172324733127152,0
32,-8.0,10.08298897483611,0
31,-1.0,8.443086774735539,2
37,6.0,4.54082014828241,2
31,-6.0,4.634241089562599,2
32,1.0,4.634241089562599,2
41,9.0,6.03955217513603,2
30,-11.0,7.367883976130064,2
26,-4.0,6.914443130833002,2
27,1.0,6.948792289723024,2
25,-2.0,6.317021600783218,2
23,-2.0,6.03955217513603,2
19,-4.0,6.03955217513603,2
22,3.0,4.461475305855876,2
16,-6.0,3.109126351029584,2
38,22.0,9.428932172031027,0
25,-13.0,10.965313275875666,0
24,-1.0,10.945753688509699,0
27,3.0,10.9674844100967,0
40,13.0,11.647603473104093,0
41,1.0,11.672107574816774,0
26,-15.0,13.189100839419678,0
42,16.0,11.745313148332013,0
38,-4.0,10.431180365113226,0
40,2.0,10.355582805332356,0
39,-1.0,10.419761445034549,0
24,-15.0,10.734900802433861,0
15,-9.0,10.889050857233999,0
19,4.0,9.933109617167554,0
19,0.0,6.676183683170234,2
17,-2.0,6.683312551921134,2
26,9.0,7.958224257542208,2
22,-4.0,7.976154939508605,2
23,1.0,5.756983337031387,2
27,4.0,4.347960660443215,2
32,5.0,4.450789122113483,2
34,2.0,4.375255094603861,2
37,3.0,3.9761191895520063,2
28,-9.0,5.023753102820155,2
17,-11.0,6.499084184567479,2
15,-2.0,6.466028441750292,2
16,1.0,6.1605503773916865,2
21,5.0,6.1605503773916865,2
18,-3.0,5.964178784328022,2
20,2.0,5.826867164470189,2
16,-4.0,5.154748157905338,2
22,6.0,3.9036002917941186,2
27,5.0,3.9880774697542916,2
27,0.0,4.035556254807282,2
31,4.0,3.9096949095439886,2
33,2.0,3.3876526498728237,2
37,4.0,3.4572215654164893,2
34,-3.0,3.154739442867008,2
34,0.0,2.870208222079912,2
38,4.0,2.6992062325272923,2
39,1.0,2.6276913640611976,2
37,-2.0,2.7342623276105704,2
29,-8.0,4.237025012007937,2
33,4.0,4.237025012007937,2
29,-4.0,4.347960660443217,2
29,0.0,4.347960660443217,2
32,3.0,4.180453381654959,2
36,4.0,4.540820148282414,2
39,3.0,4.64450520200252,2
42,3.0,2.911389784310986,2
44,2.0,2.760262237369398,2
47,3.0,1.2724180205606606,2
43,-4.0,2.7080128015453004,2
46,3.0,2.7080128015453004,2
44,-2.0,2.9113897843109866,2
49,5.0,3.2071349029490768,1
54,5.0,3.450327796711756,1
53,-1.0,3.5923198500080424,1
47,-6.0,4.3969686527576295,2
54,7.0,4.685336802448768,1
54,0.0,4.670066788550642,1
53,-1.0,4.572172558506711,1
48,-5.0,4.775931721614508,2
39,-9.0,5.1777914026661715,2
39,0.0,5.228129047119365,2
36,-3.0,4.9617585208318555,2
31,-5.0,3.302235894778237,2
23,-8.0,3.359421718944231,2
25,2.0,3.9999999999999902,2
25,0.0,4.231401884099621,2
23,-2.0,3.4016802570830325,2
19,-4.0,3.287784027201867,2
21,2.0,3.760699023168041,2
18,-3.0,3.5790395093549505,2
18,0.0,2.36038737740831,2
21,3.0,2.5727509827123822,2
16,-5.0,3.0394235042348328,2
18,2.0,3.2513733362117123,2
21,3.0,3.1471831698777573,2
19,-2.0,3.1471831698777577,2
24,5.0,3.436498771936884,2
27,3.0,3.498298906339356,2
26,-1.0,3.498298906339357,2
19,-7.0,4.0766466144427485,2
21,2.0,4.0766466144427485,2
18,-3.0,4.076646614442749,2
19,1.0,4.041451884327369,2
22,3.0,3.6839419880650235,2
19,-3.0,3.4846602621858356,2
18,-1.0,3.4846602621858356,2
19,1.0,2.3804761428475967,2
19,0.0,2.214669705568262,2
22,3.0,2.1491969707422167,2
17,-5.0,2.984084768360613,2
21,4.0,3.1847852585154075,2
18,-3.0,3.1847852585154075,2
19,1.0,3.1847852585154075,2
26,7.0,4.123105625617648,2
17,-9.0,5.618845839799174,2
14,-3.0,5.49025110016446,2
17,3.0,5.385164807134495,2
18,1.0,5.1269595556932375,2
13,-5.0,5.3452248382484795,2
15,2.0,5.411627692821652,2
18,3.0,4.634241089562604,2
14,-4.0,3.457221565416493,2
20,6.0,3.976119189552008,2
23,3.0,3.976119189552008,2
24,1.0,3.976119189552008,2
28,4.0,3.1320159337914784,2
25,-3.0,3.6903993847614274,2
21,-4.0,4.117326918327091,2
24,3.0,3.6903993847614274,2
24,0.0,3.10145895008261,2
31,7.0,3.891382420536055,2
35,4.0,4.035556254807283,2
38,3.0,3.9520940802374027,2
43,5.0,3.5989416433697348,2
37,-6.0,4.231401884099618,2
37,0.0,4.298393941484468,2
42,5.0,4.353433237386425,2
42,0.0,3.9520940802374027,2
37,-5.0,4.461475305855879,2
34,-3.0,4.4293394111365565,2
35,1.0,3.8047589248453573,2
33,-2.0,3.20713490294908,2
36,3.0,3.484660262185836,2
29,-7.0,3.4846602621858374,2
37,8.0,5.122313465427038,2
34,-3.0,4.8941169737125065,2
29,-5.0,5.122313465427038,2
26,-3.0,5.122313465427038,2
31,5.0,5.6188458397991745,2
28,-3.0,5.4902511001644605,2
19,-9.0,5.883795341363221,2
13,-6.0,4.314979445958874,2
15,2.0,4.785891965429416,2
18,3.0,5.0943479418254185,2
20,2.0,5.20988072251727,2
24,4.0,5.033222956847159,2
23,-1.0,4.956957592256413,2
26,3.0,3.464101615137742,2
24,-2.0,2.2253945610567265,2
21,-3.0,2.794552524023072,2
21,0.0,2.6367367999822937,2
27,6.0,3.366501646120679,2
24,-3.0,3.36650164612068,2
23,-1.0,3.36650164612068,2
25,2.0,3.2366943748507353,2
29,4.0,3.450327796711758,2
33,4.0,3.1997023671109073,2
35,2.0,3.1091263510295897,2
34,-1.0,2.7080128015453035,2
31,-3.0,2.7080128015453035,2
32,1.0,2.5634797778466045,2
29,-3.0,2.9920529661723676,2
36,7.0,3.69684550213646,2
