timestamp,value,classification,date,sentiment_score,value_7d,value_30d,daily_change,volatility_7d,next_class
2018-02-01 05:30:00+00:00,30,Fear,2018-02-01,25,,,,,Extreme Fear
2018-02-02 05:30:00+00:00,15,Extreme Fear,2018-02-02,0,,,-15.0,,Fear
2018-02-03 05:30:00+00:00,40,Fear,2018-02-03,25,,,25.0,,Extreme Fear
2018-02-04 05:30:00+00:00,24,Extreme Fear,2018-02-04,0,,,-16.0,,Extreme Fear
2018-02-05 05:30:00+00:00,11,Extreme Fear,2018-02-05,0,,,-13.0,,Extreme Fear
2018-02-06 05:30:00+00:00,8,Extreme Fear,2018-02-06,0,,,-3.0,,Fear
2018-02-07 05:30:00+00:00,36,Fear,2018-02-07,25,23.428571428571427,,28.0,,Fear
2018-02-08 05:30:00+00:00,30,Fear,2018-02-08,25,23.428571428571427,,-6.0,18.726095873584185,Fear
2018-02-09 05:30:00+00:00,44,Fear,2018-02-09,25,27.571428571428573,,14.0,18.050194564312147,Neutral
2018-02-10 05:30:00+00:00,54,Neutral,2018-02-10,50,29.571428571428573,,10.0,15.92691642053372,Fear
2018-02-11 05:30:00+00:00,31,Fear,2018-02-11,25,30.571428571428573,,-23.0,17.397317800933184,Fear
2018-02-12 05:30:00+00:00,42,Fear,2018-02-12,25,35.0,,11.0,16.52127056107916,Fear
2018-02-13 05:30:00+00:00,35,Fear,2018-02-13,25,38.857142857142854,,-7.0,16.886173549471092,Greed
2018-02-14 05:30:00+00:00,55,Greed,2018-02-14,75,41.57142857142857,,20.0,15.162610655977483,Greed
2018-02-15 05:30:00+00:00,71,Greed,2018-02-15,75,47.42857142857143,,16.0,15.334368495078536,Greed
2018-02-16 05:30:00+00:00,67,Greed,2018-02-16,75,50.714285714285715,,-4.0,15.250292737237162,Greed
2018-02-17 05:30:00+00:00,74,Greed,2018-02-17,75,53.57142857142857,,7.0,15.071259308460494,Greed
2018-02-18 05:30:00+00:00,63,Greed,2018-02-18,75,58.142857142857146,,-11.0,12.011898862615945,Greed
2018-02-19 05:30:00+00:00,67,Greed,2018-02-19,75,61.714285714285715,,4.0,11.674147261608201,Greed
2018-02-20 05:30:00+00:00,74,Greed,2018-02-20,75,67.28571428571429,,7.0,10.721584815333083,Neutral
2018-02-21 05:30:00+00:00,54,Neutral,2018-02-21,50,67.14285714285714,,-20.0,12.294017127971522,Fear
2018-02-22 05:30:00+00:00,44,Fear,2018-02-22,25,63.285714285714285,,-10.0,10.38313651116674,Fear
2018-02-23 05:30:00+00:00,39,Fear,2018-02-23,25,59.285714285714285,,-5.0,10.392304845413262,Fear
2018-02-24 05:30:00+00:00,31,Fear,2018-02-24,25,53.142857142857146,,-8.0,9.227288721117223,Fear
2018-02-25 05:30:00+00:00,33,Fear,2018-02-25,25,48.857142857142854,,2.0,9.393513466115605,Fear
2018-02-26 05:30:00+00:00,37,Fear,2018-02-26,25,44.57142857142857,,4.0,9.393513466115605,Fear
2018-02-27 05:30:00+00:00,44,Fear,2018-02-27,25,40.285714285714285,,7.0,9.393513466115605,Fear
2018-02-28 05:30:00+00:00,41,Fear,2018-02-28,25,38.42857142857143,,-3.0,6.362090102803516,Fear
2018-03-01 05:30:00+00:00,38,Fear,2018-03-01,25,37.57142857142857,,-3.0,5.336308693862308,Neutral
2018-03-02 05:30:00+00:00,47,Neutral,2018-03-02,50,38.714285714285715,42.63333333333333,9.0,6.094494002200438,Greed
2018-03-03 05:30:00+00:00,56,Greed,2018-03-03,75,42.285714285714285,43.5,9.0,5.159365040297844,Fear
2018-03-04 05:30:00+00:00,44,Fear,2018-03-04,25,43.857142857142854,44.46666666666667,-12.0,7.870983480631942,Greed
2018-03-05 05:30:00+00:00,55,Greed,2018-03-05,75,46.42857142857143,44.96666666666667,11.0,8.638231741453085,Greed
2018-03-06 05:30:00+00:00,59,Greed,2018-03-06,75,48.57142857142857,46.13333333333333,4.0,8.454359258760563,Fear
2018-03-07 05:30:00+00:00,37,Fear,2018-03-07,25,48.0,47.0,-22.0,12.474736374731435,Fear
2018-03-08 05:30:00+00:00,39,Fear,2018-03-08,25,48.142857142857146,48.03333333333333,2.0,12.455635557564179,Fear
2018-03-09 05:30:00+00:00,37,Fear,2018-03-09,25,46.714285714285715,48.06666666666667,-2.0,11.830147123023488,Fear
2018-03-10 05:30:00+00:00,39,Fear,2018-03-10,25,44.285714285714285,48.36666666666667,2.0,11.073348527841414,Fear
2018-03-11 05:30:00+00:00,40,Fear,2018-03-11,25,43.714285714285715,48.233333333333334,1.0,10.260882724488877,Fear
2018-03-12 05:30:00+00:00,41,Fear,2018-03-12,25,41.714285714285715,47.8,1.0,9.0,Fear
2018-03-13 05:30:00+00:00,41,Fear,2018-03-13,25,39.142857142857146,48.13333333333333,0.0,8.67673407946298,Fear
2018-03-14 05:30:00+00:00,40,Fear,2018-03-14,25,39.57142857142857,48.06666666666667,-1.0,1.511857892036905,Fear
2018-03-15 05:30:00+00:00,32,Fear,2018-03-15,25,38.57142857142857,47.96666666666667,-8.0,3.366501646120692,Fear
2018-03-16 05:30:00+00:00,33,Fear,2018-03-16,25,38.0,47.233333333333334,1.0,3.408672412985386,Fear
2018-03-17 05:30:00+00:00,31,Fear,2018-03-17,25,36.857142857142854,45.9,-2.0,3.2366943748507477,Fear
2018-03-18 05:30:00+00:00,29,Fear,2018-03-18,25,35.285714285714285,44.63333333333333,-2.0,3.1014589500826246,Fear
2018-03-19 05:30:00+00:00,29,Fear,2018-03-19,25,33.57142857142857,43.13333333333333,0.0,2.984084768360628,Fear
2018-03-20 05:30:00+00:00,37,Fear,2018-03-20,25,33.0,42.266666666666666,8.0,4.755948656056709,Fear
2018-03-21 05:30:00+00:00,36,Fear,2018-03-21,25,32.42857142857143,41.233333333333334,-1.0,4.755948656056709,Fear
2018-03-22 05:30:00+00:00,36,Fear,2018-03-22,25,33.0,39.96666666666667,0.0,3.4572215654165035,Fear
2018-03-23 05:30:00+00:00,28,Fear,2018-03-23,25,32.285714285714285,39.1,-8.0,4.7157284949512555,Fear
2018-03-24 05:30:00+00:00,32,Fear,2018-03-24,25,32.42857142857143,38.7,4.0,4.9809159608975335,Fear
2018-03-25 05:30:00+00:00,30,Fear,2018-03-25,25,32.57142857142857,38.4,-2.0,4.9809159608975335,Fear
2018-03-26 05:30:00+00:00,31,Fear,2018-03-26,25,32.857142857142854,38.4,1.0,4.990467102863407,Extreme Fear
